No files changed, compilation skipped
| Contract                       | Runtime Size (B) | Initcode Size (B) | Runtime Margin (B) | Initcode Margin (B) |
|--------------------------------|------------------|-------------------|--------------------|---------------------|
| AdditionalMonetaryTypeHelpers  |               86 |               141 |             24,490 |              49,011 |
| Address                        |               86 |               141 |             24,490 |              49,011 |
| AgreementLibrary               |               86 |               141 |             24,490 |              49,011 |
| BatchLiquidator                |            2,772 |             3,282 |             21,804 |              45,870 |
| BatchOperation                 |               86 |               141 |             24,490 |              49,011 |
| BeaconProxy                    |              332 |             1,746 |             24,244 |              47,406 |
| CFAv1Forwarder                 |            5,710 |             6,131 |             18,866 |              43,021 |
| CallUtils                      |               86 |               141 |             24,490 |              49,011 |
| CallbackUtils                  |               86 |               141 |             24,490 |              49,011 |
| ConstantFlowAgreementV1        |           21,050 |            21,239 |              3,526 |              27,913 |
| ContextDefinitions             |               86 |               141 |             24,490 |              49,011 |
| Counters                       |               86 |               141 |             24,490 |              49,011 |
| ECDSA                          |               86 |               141 |             24,490 |              49,011 |
| ERC1820RegistryCompiled        |               86 |               141 |             24,490 |              49,011 |
| ERC20                          |            2,131 |             2,843 |             22,445 |              46,309 |
| ERC2771Forwarder               |            1,310 |             1,432 |             23,266 |              47,720 |
| ERC777Helper                   |               86 |               141 |             24,490 |              49,011 |
| EnumerableSet                  |               86 |               141 |             24,490 |              49,011 |
| FixedSizeData                  |               86 |               141 |             24,490 |              49,011 |
| FlowOperatorDefinitions        |               86 |               141 |             24,490 |              49,011 |
| FlowSplitter                   |            8,225 |             8,763 |             16,351 |              40,389 |
| FullUpgradableSuperTokenProxy  |              531 |               562 |             24,045 |              48,590 |
| GDAv1Forwarder                 |            5,939 |             6,374 |             18,637 |              42,778 |
| GeneralDistributionAgreementV1 |           23,403 |            23,634 |              1,173 |              25,518 |
| InstantDistributionAgreementV1 |           21,122 |            21,255 |              3,454 |              27,897 |
| MacroForwarder                 |            2,192 |             2,345 |             22,384 |              46,807 |
| Math                           |               86 |               141 |             24,490 |              49,011 |
| PoolAdminNFT                   |            5,838 |             6,041 |             18,738 |              43,111 |
| PoolMemberNFT                  |            6,764 |             6,967 |             17,812 |              42,185 |
| PureSuperToken                 |            1,215 |             1,246 |             23,361 |              47,906 |
| Resolver                       |            3,238 |             3,606 |             21,338 |              45,546 |
| SETHProxy                      |            1,443 |             1,474 |             23,133 |              47,678 |
| SafeCast                       |               86 |               141 |             24,490 |              49,011 |
| SafeERC20                      |               86 |               141 |             24,490 |              49,011 |
| SafeMath                       |               86 |               141 |             24,490 |              49,011 |
| SemanticMoney                  |               86 |               141 |             24,490 |              49,011 |
| ShortStrings                   |               86 |               141 |             24,490 |              49,011 |
| SignedMath                     |               86 |               141 |             24,490 |              49,011 |
| SimpleForwarder                |            1,096 |             1,218 |             23,480 |              47,934 |
| SlotsBitmapLibrary             |            2,688 |             2,745 |             21,888 |              46,407 |
| SolvencyHelperLibrary          |               86 |               141 |             24,490 |              49,011 |
| StorageSlot                    |               86 |               141 |             24,490 |              49,011 |
| Strings                        |               86 |               141 |             24,490 |              49,011 |
| SuperAppDefinitions            |               86 |               141 |             24,490 |              49,011 |
| SuperToken                     |           20,057 |            20,605 |              4,519 |              28,547 |
| SuperTokenFactory              |            8,531 |             9,091 |             16,045 |              40,061 |
| SuperTokenV1Library            |               86 |               141 |             24,490 |              49,011 |
| SuperUpgrader                  |            5,420 |             6,416 |             19,156 |              42,736 |
| Superfluid                     |           23,593 |            25,268 |                983 |              23,884 |
| SuperfluidGovernanceConfigs    |               86 |               141 |             24,490 |              49,011 |
| SuperfluidGovernanceII         |            8,785 |             8,907 |             15,791 |              40,245 |
| SuperfluidGovernanceIIProxy    |              990 |             1,112 |             23,586 |              48,040 |
| SuperfluidLoader               |            1,287 |             1,419 |             23,289 |              47,733 |
| SuperfluidLoaderLibrary        |              721 |               778 |             23,855 |              48,374 |
| SuperfluidPool                 |           12,173 |            12,362 |             12,403 |              36,790 |
| SuperfluidPoolDeployerLibrary  |            2,418 |             2,475 |             22,158 |              46,677 |
| SuperfluidPoolPlaceholder      |              591 |               622 |             23,985 |              48,530 |
| SuperfluidUpgradeableBeacon    |            1,196 |             1,575 |             23,380 |              47,577 |
| TOGA                           |            5,275 |             6,186 |             19,301 |              42,966 |
| TestGovernance                 |            8,057 |             8,179 |             16,519 |              40,973 |
| TestResolver                   |            3,316 |             3,774 |             21,260 |              45,378 |
| TestToken                      |            4,659 |             5,946 |             19,917 |              43,206 |
| UUPSProxy                      |              554 |               585 |             24,022 |              48,567 |
| UUPSUtils                      |               86 |               141 |             24,490 |              49,011 |
| UpgradeableBeacon              |              837 |             1,214 |             23,739 |              47,938 |

